restaurant_id,name,cusine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders,is_active
049ae803-5f14-4ea8-b939-ce5b623e570f,"Carlson, Ray and Williams",French,Richardmouth,Darius Schmidt,15,(202)280-8976x0068,1.48,14,False
3cb33ab1-6264-4842-a2bd-a9e91abd3524,"Garcia, Lynn and Weber",Mexican,South Danaburgh,Lawrence White,43,(959)323-2622x3460,3.53,17,False
c94f848a-8879-4c93-98ec-a7ce031cd07e,Schmitt-Mccarty,Mexican,New Christine,Lisa Benson,22,9569860483,1.76,13,True
86f03fe9-bc95-4cd7-b1d9-e88757da68ff,Turner and Sons,Mexican,Port Cassidy,Cynthia Robinson,55,001-484-856-0635x506,1.33,78,False
44d31371-0a9a-43a4-a9c9-1b59bc05f5a5,"Miller, Taylor and Brewer",Italian,Lake Stephanie,Xavier Russell,40,212-263-8547x17128,4.67,89,False
eec9250c-eb8b-40df-aba5-f4771eb4859f,Neal and Sons,Chinese,Port Leonardhaven,Emily Kelly,34,(409)662-6674,1.84,72,True
733bbcc9-7e5b-4140-b7aa-1acb67c1f448,Wells Inc,Chinese,West Thomashaven,Tina Elliott,31,001-535-412-9511x46141,3.06,6,True
b5bf06a2-cbf5-4971-b8b1-7af914cedbde,Palmer-Graham,French,Keithtown,Richard Hood,18,(973)485-5231x969,3.14,92,False
61f7fc39-c584-409b-b631-31a2c19bcbbb,"Green, Velez and Griffin",French,Taraberg,Raymond Randolph,15,(673)241-3299x681,2.51,94,False
c7b126e8-b43f-4ff2-87a7-5c85bc3bc346,"Gallagher, Dunn and Rodriguez",Italian,South Kellyside,Scott Hicks,23,(405)786-5361,1.74,33,True
48adbb69-d24d-4b3f-b17d-d1fd92998e8f,"Brown, Cox and Ingram",Italian,South Alice,Kimberly Bailey,22,911.310.8410x67952,1.58,8,True
4bd2cd23-6933-4d82-9687-d6d2039bc86b,Kaiser-Barrett,Italian,Lauraview,Krystal Bradford,32,(371)243-1676x5499,4.86,54,False
4dbf3ddb-2a8d-496c-bde6-3243da3d0234,Beck and Sons,American,Hansenberg,John Long,59,(346)738-8254x4451,1.8,31,False
30361090-dd8e-477e-8338-845cd9733ca2,Allen-Robles,Italian,Michaelview,Alejandro Paul,39,(444)509-7797x76441,3.13,19,True
dd758a62-cb1c-4a63-bb50-a1edf3776830,Shaw PLC,American,Bonnieland,William Silva,23,940.857.5711,3.89,99,False
3876f15a-376a-496e-b513-9d09e102ec6a,Jones-Harrington,Chinese,Lindseychester,Wesley Shaw MD,19,(514)390-9821,4.5,97,False
1fe7ec0a-deb5-4747-8791-84b87428b0aa,"Carpenter, Johnson and Chan",Italian,Erikfort,Jason Wilson,22,801.402.2325,3.03,60,False
6a66c7b3-4d17-4612-b9a1-8ce80008b48e,Kennedy-Watson,American,Danielsburgh,Rachael Harris,35,(630)629-4864x235,2.56,23,True
c925cd91-ae01-4e64-b526-c099b3797a2f,Smith-Diaz,American,East Robertberg,Jorge Mclaughlin,29,946.653.9069x4818,1.99,2,False
0270d5f8-cb67-42e7-b88e-34789b8025ce,Jacobson-Allen,Italian,Williamville,Karen Huffman,19,001-560-393-0592x03062,3.42,15,False
b822048d-51f8-4b59-9304-847f229e5dd7,Yu-Mcneil,French,Barrychester,Sally Wiggins,16,847.702.8099x660,4.87,75,True
ac5ea8db-0dfd-4248-b554-0502c0acf000,"Marks, Romero and Wright",Mexican,Taylormouth,David Baker,36,770.365.2615x744,2.44,66,True
30bf4a3a-3b5b-488b-ac43-1af0820f1a6b,Case and Sons,Italian,North James,Robert Conrad MD,57,(418)361-6539x77127,1.54,82,True
ce4e9cfe-103e-4cb0-93c1-8eec46ad98bc,Adams LLC,Mexican,Lauraberg,Roger Alexander,13,+1-556-823-6193x559,1.4,92,True
b9b4fd3a-dac8-4aa3-822a-7a64acb038e4,Carter-Estrada,Indian,Williamsmouth,Rachel Tanner,13,346-946-3156x49393,2.19,31,True
ddfe4063-e02f-4be1-86ba-39c1a2643d08,Meyer-Miller,Chinese,Coopermouth,Tiffany Garrett,27,+1-290-279-3380,4.93,24,False
b301d0de-7586-4b02-b5f2-78684827a95a,"Davila, Banks and Campos",American,Coryborough,Molly Vaughn,29,7447122119,2.22,97,True
53207823-3804-4cb6-ab2c-f26b3f2c766b,Hogan-Duncan,Italian,South Heidiborough,Philip Keith,50,(837)896-5678x131,2.84,69,True
a7beecf8-8f04-451f-a501-370a9f8a118a,Martin-Schneider,Mexican,Hardyhaven,Katherine Johnson,12,(384)744-8688x362,2.81,90,False
cf3261fc-549a-41b7-906b-e3155abdb260,Blackwell Ltd,Indian,Kimberlyberg,Kelli Sanchez,58,529-340-5537,4.06,70,True
209e1687-0d50-4dff-aaed-5c51bc455e80,Day and Sons,American,New Derekfort,Christopher Roberts,35,968.852.4348x027,1.42,97,False
2b3fa844-b90b-4850-8ab8-2bffc955bff6,Hall PLC,Indian,Johnshire,Robert Peterson,18,(444)583-5456x1939,2.18,79,True
18c0db40-511d-4fab-b991-6ea945e38dbd,James-Guerra,Italian,South Briannabury,Andrea Thomas,55,2223140238,1.62,25,True
ad159947-731f-4765-9430-dc37c3773fd0,"Rose, Fuller and Lang",American,East Rachel,Caleb Martin,19,+1-348-612-7250,4.24,43,True
2ffa5e4c-f9f6-41b8-b58e-bcf3a91a2302,Brown Ltd,French,Sotofurt,Barbara Meyer,58,837-507-7451,4.31,1,True
df4d721e-4f3e-40f4-a076-cc3e8c78b54e,"Silva, Brown and Hendricks",Chinese,North Tony,Amber Valencia,56,+1-276-739-1651x03480,4.68,88,False
c2e78e45-37a7-41ea-96eb-08202a6e3d63,"Lewis, Davis and Wilson",Indian,Port James,Joseph Vargas,55,(586)754-9663x2119,3.32,89,False
68d7737a-9244-43a4-9e33-39991a6a7cc7,"Anderson, Maldonado and James",Indian,Laurenside,Louis Church,30,2099793755,1.27,69,True
6f79cbdb-cd86-48cd-a76b-74eb847d944d,"Mosley, Jordan and Wood",Chinese,Turnermouth,Tina Bailey,17,+1-891-930-2556x00493,2.35,34,True
49bfe5c8-509b-423c-8ff3-26e9958da2e2,Lewis-Mann,Mexican,Bradyland,Jesus Pace,13,+1-945-880-9614x182,4.79,52,True
41165710-8470-409e-b29b-67f190e445e4,"Stephenson, Hall and Rivera",Chinese,South Kellyburgh,Kelly James,23,717.233.1797,1.7,49,True
0dc12a1e-d975-42dd-a3e7-aad02f127e9c,"Fox, Roberson and Allison",Italian,New Brandon,Patricia Vance,39,(973)748-4612x77780,1.35,54,True
2db64e0b-a3f1-4dbb-98e6-6ede054ed78b,Rojas-Cisneros,Mexican,Stephaniefort,Kelly Wilson,47,+1-469-461-7971x57039,4.55,95,True
f69b8c17-d6af-4b69-b28a-372789becc5a,Wagner Inc,Italian,East Courtneyside,Andre Jones,46,330.643.1033,3.63,87,False
e274c634-1a1b-41c8-9100-a168604130a1,"Taylor, Hamilton and Rubio",Italian,Kristenland,Vickie Coleman,29,952-758-5656x549,3.32,14,False
506d2e57-ce8e-4b58-93ec-e563b34537ba,Taylor LLC,French,Michaelside,Diana Stevens,38,(567)393-3890,4.87,67,False
286a3670-fc2a-4a93-907d-54d586218435,Cohen-Hill,American,Port Lucaschester,Gregory Rogers,47,+1-329-528-3000,1.77,92,True
b8d0a353-e787-4adf-81a1-1f0658eb9f7a,Booker-Ramirez,Indian,West Daniel,Nicole Howard,24,394-545-2533x59153,2.26,74,True
11b48366-abd6-41d1-8dd5-91d1a28ac5f8,Cook-Meza,Mexican,East Joanna,Wesley Underwood,42,001-646-888-7215x02878,1.72,66,False
1b83f451-b85e-4349-b23f-80690a584332,"Cordova, Nelson and Parker",Chinese,Chaneyview,Jon Reid,42,858.605.5362,4.5,12,True
44105f88-6b3e-4693-8376-bfc6634c2173,"Nelson, Holloway and Taylor",Chinese,South Natalie,Joshua Taylor,24,6518593101,3.97,93,True
651390e7-9d70-4d3e-a9bb-08c0dfc2e325,Jennings PLC,Italian,Crystalside,Carol Mcbride,48,805-977-5638x2134,4.04,28,False
547df115-5b1f-4c49-8b87-c0b4e4353f93,"Gordon, Carpenter and Ingram",Chinese,East Patrick,William Day,22,001-904-598-0381x8878,4.17,8,False
9ab213b4-d467-41b0-92b1-79c25b4c7809,Lewis-Vincent,Italian,South Deborah,David Edwards,40,583-257-5398,4.7,32,False
565dcd41-343d-4d9c-91f0-e3b6281e9372,"Ward, Andrews and Burton",Italian,East Christian,Alicia Cooper,39,(729)209-6360x488,3.29,39,True
42f398b0-8a74-4229-bc9f-6321b2d4070a,Contreras Ltd,Italian,Bennettbury,Timothy Weeks,37,001-990-685-3407x981,3.67,67,False
cb1d02e2-6a3c-461f-aac4-10fc078ec6ef,"Johnson, Mata and Gutierrez",Chinese,Chandlerfurt,Lauren Steele,13,689.846.4105x135,3.4,77,False
b53ad5ef-d37e-4ea7-b07a-5bf7c822d3e3,Haley LLC,French,North Brettside,Alexander Faulkner,30,001-673-529-5585x6812,4.0,77,True
a52763b1-6aaf-4066-ab93-de29bddbfb04,"Atkinson, Franklin and Burns",Italian,Lake Tina,Meghan Burton,25,(810)584-1936x7508,3.64,63,True
7173894b-74dd-43b4-ab96-a2be377eec55,Murphy and Sons,Italian,East Heidi,Jacob Weaver,53,(307)951-1358x548,3.25,68,True
88be49d3-080e-4aeb-bb94-991cf07e1f1a,Padilla-Bautista,Mexican,Madelineside,Monica Monroe,16,001-314-846-4610x3648,2.64,48,True
42c835e3-a4dd-4aec-b458-ab710371cbb7,"Jones, Nelson and King",Chinese,West Andrew,Amy Brooks,36,001-964-989-7415x481,2.38,23,False
a8f8f6dd-cd05-4400-b778-b6d604600f2a,Russell-Sanders,American,New Jodyview,Michael Sparks,16,(649)346-0546x383,2.54,90,True
89daff4a-0953-4459-9a2c-2f238936fa49,Carter-Schaefer,Indian,Williamfort,William Ritter,18,001-592-289-3464x08595,1.22,29,False
258f796c-5731-464b-8fe2-0333795fd917,"Richardson, Baker and Evans",French,Davidside,Paul Williams,26,(962)877-8943x5677,4.25,40,False
76fa34dc-0712-48e6-a9a8-bb4e9d20d611,Bruce Ltd,Mexican,Leonardton,Stephen Zhang,34,+1-970-276-8482x847,4.04,30,True
6c34e243-1957-469a-9488-22653a190a1b,Taylor Group,French,North Madeline,Lindsay Mann,12,356-859-7755,3.03,48,True
c0559753-4a3e-485d-9fda-7122de76e7d7,Wood-Scott,Chinese,West Brianmouth,Laurie Christensen,39,+1-553-283-1267x94070,1.74,13,False
3bf2c0c9-eb1a-4f89-b27a-37754e4cf265,Rogers-Baker,American,Jacobfort,Rachel Wise,34,998-493-2115x71311,2.06,75,True
1f341d16-4499-4b20-88a8-c7408f0213c6,"Mccall, George and King",American,West Diane,William Brown,42,(834)834-4710x9094,4.24,53,True
305c19c1-b90b-4c18-a84e-9f658db320f9,Lawson Ltd,French,Davidport,Sandy Burton,29,(480)226-1506x002,2.24,73,False
cc617db2-4c01-4bb2-b62a-041ddb96795e,"Miller, Bird and Garcia",French,Mckenzieville,Michael Huber,21,(985)856-5710x5324,4.81,83,False
d4856bb4-3b4c-4a5e-a3b4-3bd99a1316a6,Horton-Horton,Chinese,Grahamhaven,Sharon Lopez,14,+1-848-743-5599x2163,1.71,45,False
58f347ca-f121-4097-af70-07cad7faf078,"Garcia, Walters and Jones",Italian,Hesterview,Mitchell Morris,30,+1-624-483-4887x51855,1.43,65,True
48f4ae15-a650-4796-a38c-5c6638121561,Dixon-Cooper,French,South Danielfort,Dr. Sara Kramer MD,50,001-329-545-0588,2.91,80,True
84b79823-04d1-4caf-b968-347f7d42a104,Turner Inc,Italian,South Codychester,Mark Davis,57,001-958-891-0163x734,3.33,100,True
d1d72c1f-9f3c-4447-9d52-0eaff516be52,"Ferguson, Acosta and Harris",Italian,South Kathy,Joseph Ball,23,9174130938,3.63,1,True
066e3003-4e95-4c04-83b7-b539d5024f65,"Jones, Wright and Moore",American,Loriburgh,Gabriela Sherman,18,528-902-3678x05367,3.4,62,True
6e881478-7fa8-44a9-a099-44e2ba88e0b4,Rodriguez Ltd,French,East Micheletown,Ronald Fuentes,14,+1-311-736-6124,2.39,9,True
9589efcd-7e09-413e-a183-477f36c88b68,Edwards-Mack,Chinese,Port James,Stacey Banks,23,945.650.7161,2.91,50,True
fd78c135-0f7c-47c9-b769-2ca018efb8d7,James Group,Chinese,Jacobsonborough,Marie Gomez,29,3046224890,2.68,82,True
034ea254-6be7-4d66-b972-d999e9507d64,"Williams, Hunt and Willis",Italian,South Christopher,Katrina Wallace,44,001-503-870-8978x0047,2.77,10,True
03429400-1571-4080-ba22-e41833ca0160,Brown LLC,Chinese,South Hunterside,Stephanie Lambert,46,+1-577-964-1939,1.42,22,True
4bda3621-733e-42ac-893a-996f47ae531e,Buchanan-Suarez,French,Smithtown,Ryan Evans,17,+1-713-851-3035,3.51,43,True
c19aedc8-791f-4e6d-b9a8-bb35004ed135,"Butler, Zuniga and Jennings",Indian,Nicholsonfort,Kathleen Aguirre,10,2114672273,1.65,37,True
89df3003-98cc-4dfd-bb44-63bb53e78b58,Rogers-Austin,Indian,North Richardland,Renee Campbell,54,(362)480-8818x577,2.98,29,False
7693762a-9c6d-4fb6-901f-67ab48c89d3c,Young-Lewis,American,Wagnerport,Kyle Roberts,22,744-572-3031x23487,3.74,8,False
2658edaf-1674-4cf4-8968-72778430a445,Reed-Aguilar,Italian,Amandachester,Kathryn Carlson,32,(921)366-5975,3.85,93,True
5017b399-a704-4249-be58-d7d89438b0c7,Colon PLC,French,Wadeburgh,Jacqueline Jones,53,571.204.3217x172,2.65,30,False
1cdcc1ee-b84f-45e9-88b9-13d507c30252,Ramirez-Sherman,Chinese,North Jenniferbury,Martha Johnston,60,(588)409-7943x8126,1.81,21,True
c6dbaf91-1f85-4a88-9a15-5463925afba6,"Carter, Goodwin and King",French,Blevinsfurt,Jennifer Rodriguez,57,457.880.2732x83707,3.52,17,True
fa3ddcd0-0480-4410-8bc4-da8aebd0c68b,Clay-Estrada,Chinese,Christophermouth,Scott Gonzalez,18,388-308-6636,4.13,94,False
6fe446bf-7228-4954-8fc0-49f51c291125,Johnson-Rogers,Mexican,New Jamesshire,Mary Nelson,28,786.951.3757,1.75,3,True
5433bf68-44e3-4488-a21a-6c7b42128799,Larson Ltd,Indian,Rebeccachester,Molly Wilson,22,9237212335,4.55,32,True
24a617e2-98dd-4056-916c-1bebf97bf712,"Flores, Williams and Kaufman",Italian,North Christopher,Phillip Young,11,+1-375-590-2765,3.15,31,True
1fac9385-9e89-44b9-9af4-9ef6330dfb76,"Smith, Alvarez and Estrada",Italian,Lake Ambermouth,Aimee White,44,+1-773-808-1904,2.22,46,False
4269084e-972b-46ea-9690-96e9cb70f9b7,Smith LLC,Italian,East Aaronhaven,Darius Powell,35,(772)669-6399,2.94,1,True
69afe15d-00c7-49c2-abb6-08154d1880cc,Edwards Ltd,French,Port Jennyborough,Frederick Gordon,25,001-789-372-2261x7938,2.48,32,False
cfce9b5e-7e7a-4a02-b572-bb7db8093ec2,"Mcclain, Fuller and Lopez",French,Markport,Nicholas Price,51,275.848.6785,4.38,21,True
fdf4e8c4-2237-461d-abdb-b399b9afe109,Cole LLC,Indian,Pittsshire,Joshua Fernandez,25,(788)582-5495x15465,1.5,69,True
5861fc63-55c4-45c4-aecf-b74dac5dbe75,"Kelley, Diaz and Garcia",Indian,Delgadofort,Rachel Carson,53,364-218-7170,4.33,84,True
9303124a-51c2-45d9-b15b-6e03a1c05352,"Walker, Wade and Dyer",Italian,South Thomas,Rodney Johnson,32,482-552-7331x31406,2.88,94,True
fa0cb7ad-80d6-48f3-87ae-3fc746370f69,"Smith, Moss and Wiggins",Chinese,West Curtis,Sara Sutton,17,(800)541-9066x5000,4.45,93,False
3326fe4c-b29f-4c62-8ff9-aa94d278553c,"Kim, Gonzales and Zimmerman",French,Vargasland,Betty Reynolds,46,399.783.4081x5745,4.93,52,False
2e9fb95d-3759-49c5-a4eb-5e905c0cd664,Martinez Group,American,Laurenchester,Bradley Lloyd,29,001-820-833-2778x794,2.92,36,True
089b9e52-8dc3-47bc-b3c6-b32869c0d627,Carpenter and Sons,French,West Dustin,Mark Ramirez,50,326.582.0886x624,1.61,48,False
0516e068-06bd-4c8a-a86c-683f368aac9b,"Frazier, Walker and Robles",French,New Maryshire,Diana Wilkerson,44,561-262-3763x1405,4.61,63,False
4c08926c-378c-4833-916d-663dcefa5747,Smith-Clark,American,South Randallside,Cindy Le,51,276-336-6855x40068,4.71,58,True
5734c8a5-db62-4221-9829-1e0fcbcaa6d4,Wilson Inc,Mexican,New Ryanside,Samuel Singleton,40,+1-695-676-2357,1.14,28,False
8f1006a6-2de4-45aa-9bb4-d34891d7917b,Johnson-Morris,Chinese,Samuelstad,Andrew Reynolds,11,(465)525-1749x4617,1.37,68,True
54f7313b-bb04-44bf-b547-db35399ed811,Roberts PLC,French,Charlesport,Gerald Garcia,33,+1-471-710-3745x9785,4.99,26,True
cf3acc7a-aa0a-494c-88ee-0aa829f03c0a,"Ruiz, Barrett and Harrington",Italian,East Mary,Lisa Anderson,60,001-629-815-6470x548,3.78,94,False
a684b6ad-1984-4865-96a4-67d293a1b700,Woods-Hall,Italian,Janetchester,Christopher Haley,56,456-634-4738x56973,3.98,38,False
7e7c5966-9def-4de8-a508-3ac8b5cb7ed0,Smith Ltd,French,Port Rachel,Brandon Murphy,33,989-926-4010x807,3.59,75,True
ead393ce-7434-4984-86a9-c535bfba6fa0,Woods Ltd,Mexican,Port Gregory,Jasmine Anderson,36,001-306-469-5467,2.79,17,False
68c0af4d-3a49-453c-b6da-5c56d2ad5de0,Nelson-May,Italian,Peterchester,Richard Delgado,20,(702)659-8187,2.47,58,True
9f8f5be6-139d-46eb-9bc7-7438756d379e,Clay-Smith,Italian,Port Katelynmouth,Ryan Black,31,724.989.1552x35795,1.0,21,False
f899a5da-a588-4720-8bd7-e903095715b6,Gilbert-Hahn,American,East Christopher,Mark Chandler,26,931-960-3850,4.52,58,False
152432fb-dabf-4388-8f96-0df5b681b77f,Fisher-Martin,French,East Josephmouth,Toni Nguyen,45,610.741.8765x480,1.59,89,True
d42fc173-1e1a-49ff-86d8-3e73799f2285,Scott and Sons,Italian,West Kelli,David Goodman,18,855-498-3455,4.41,71,False
6a01faf9-7f89-4a0a-b0cf-c9d2d74b8275,"Parks, Wells and Greene",Chinese,East Ashleyton,Aaron Booth,55,752-799-4300x25264,3.78,23,False
66042263-0116-4d2a-8a3b-a05c77a90eb3,"Brown, Johnson and Parker",Italian,Meganport,Mary Goodwin,49,(797)794-6702x236,2.06,95,True
6e951bde-5c04-435a-8a4e-167fcb575835,"Cortez, Phillips and Brady",Indian,Port Markside,Sandra Pierce DDS,58,221-210-1178x205,1.94,53,True
88e27f3a-b337-4745-a121-d1b1e3352260,"Smith, Perez and Lee",Mexican,East Lisachester,Mark Cameron,44,755-842-1215x7414,2.01,5,False
84411a4e-85de-456a-95b4-1dd4c81e5de5,Smith-Choi,Mexican,Alexmouth,Derek Nicholson DDS,27,(679)739-5904x511,2.01,15,False
adf8b7ee-2435-44d2-b1e9-655dfce44fcb,Melton-Carr,Mexican,Crystalmouth,Jennifer Wilson,12,5489919227,2.21,46,True
00f42543-f19b-41d2-b0d4-eb44eb4fb380,Smith Ltd,Chinese,Owensview,Maria Anderson,12,+1-555-291-7801,4.95,93,True
d8f4f2fd-a90f-4ec4-9cd3-4e35227b0659,Daniel and Sons,Mexican,North Marie,David Clark,33,813.568.7839x79934,4.42,74,True
b2c0fb4d-836f-4df1-a136-fc8574a46448,Smith-Evans,Italian,East Juan,Raymond Wood,47,(779)987-7191x3568,1.19,41,False
4507b6f8-269f-416e-9b93-acfda1aad743,"Kelly, Schmidt and Flynn",Italian,West Taraview,Jamie Brown MD,37,001-906-702-8861x09225,3.09,76,True
cda901fe-c59d-406e-b58b-86e8a37d7fc4,Maldonado Inc,Italian,Roachland,Tina Schmidt,39,812-623-5064x559,4.59,11,True
5bff0e16-a510-4ed8-9f56-177599d1400e,"Sanchez, Hernandez and May",Mexican,Destinystad,Lisa Herman,45,201.336.4951,3.55,67,False
5460b288-39e9-4e84-8815-79fc85466a66,Peterson-Herrera,Italian,Danielton,Ann Harris,56,(814)938-1445,2.63,41,True
87a9a858-6f5b-4a95-a008-eece6d59b6ef,"Rodriguez, Hill and Romero",Italian,Deborahton,Shelly Curtis,48,607-705-8342x9915,2.67,49,False
449aba37-558f-453b-a253-1f85f05a987e,Phillips and Sons,French,New Beckymouth,John Becker,46,(755)364-3864,1.87,18,True
4eb9c01c-e25a-4937-9ec6-e8ce4f07b0a5,Lewis-Hunter,Indian,East Andre,Megan Kane,60,266-547-9265x230,3.06,33,False
3f97b2f7-15dc-45e6-9326-1580fa920be2,Padilla-Green,Indian,Robertmouth,Samantha Taylor,60,430.775.8639x56416,1.28,9,False
18588e4c-56f7-4c9f-b1f5-2146af1a24ce,Hill-James,Indian,Blaketown,Christopher Raymond,39,6472353802,4.13,31,True
5cbc97db-080a-419b-ab3a-2ccf91fa11e9,Hawkins-Wolfe,Indian,East Jacobland,Alexander Martin,58,442.988.3003x975,3.53,25,False
448386a0-6e31-4e3a-95e4-b7417c06d64e,Hart Ltd,Chinese,Port Davidberg,Jessica Jones,17,(566)273-9241,4.87,43,False
ee322bdd-d23d-4833-99b1-50872f20f512,"Woods, Rojas and Anderson",American,West Sarahfurt,Daniel Davis,29,460.656.8241,3.36,66,True
2e994a57-37a0-4985-a01e-5ced6eadca35,Kelly PLC,Indian,Barryton,Stacey Peters,54,234-778-4713x3794,4.86,71,False
200222f8-3197-40ce-98dc-98b6ce4f9979,"Brandt, Ramirez and Moreno",Mexican,Dianebury,James Evans,28,917.265.3911,2.86,53,False
d9ce150c-a9b6-4811-bff4-0c931cd48706,Parrish-Hoover,Mexican,Port Kimberlyhaven,Jennifer Gonzalez,53,001-281-606-9447x4077,2.65,67,False
53f3a48f-c455-4037-85f3-889a5bb20815,Walton and Sons,Mexican,Sanchezhaven,Levi Jefferson,32,697.246.8992x61648,4.19,50,False
76d0f8cf-8c56-485e-9f59-adf3b0271718,Nichols-Hodges,Italian,New Jeremy,Matthew Jones,60,482-824-1975,5.0,17,False
49787440-d501-4092-b31e-c4bb8179f31d,"Pitts, Miller and Mccarthy",Mexican,Lake James,Jeffery Nguyen,47,747.483.1298x62893,2.55,92,True
3c65e9b3-ee2f-4c7b-9257-482aa183cf6a,Cook and Sons,Chinese,North Melanieport,Amber Terry DDS,20,743-309-1315x0762,3.67,63,False
6c629fe9-a447-4b25-b6e5-67b8e3719ed6,Shelton Ltd,Chinese,Christinafurt,Sydney Gonzalez,58,719-651-3266x6920,1.19,60,False
